search_strategy,num_words,num_states,query_len,num_beam,recall,results,query,target,lattice_num_states,alpha,search_stage,time_seconds,words_per_sec
beam_forward_backward,20,148,17,100.0,0.0,"[('acrobat', 15.080771336371097), ('hypomorph', 15.913057999003493), ('anisodont', 16.09121478343199), ('footstock', 16.22932606331331), ('puno', 16.271417277230704), ('vociferance', 16.47983461217818), ('trifler', 16.55091970968288), ('replane', 16.570658491534235), ('exteroceptive', 16.944801471416504), ('iconostas', 16.97882514086876), ('chaetopodous', 17.156861225928207), ('depetalize', 17.51472808946746), ('incumbentess', 18.336034854926012), ('voltaism', 18.37529981091287), ('detention', 18.41613292671931), ('nonspecialized', 18.43491841174684), ('repolymerize', 18.93016206127384), ('multifistular', 19.798756511522)]",multimjistujuylar,multifistular,,0.31622776601683794,lexicon_preproc_time,0.0013126660487614572,761.8083829802198
beam,20,148,17,200.0,1.0,"[('multifistular', 5.0), ('voltaism', 13.0), ('trifler', 13.0), ('footstock', 14.0), ('iconostas', 14.0), ('detention', 15.0), ('anisodont', 15.0), ('incumbentess', 15.0), ('puno', 16.0), ('exteroceptive', 16.0), ('treading', 16.0), ('adighe', 16.0), ('vociferance', 16.0), ('hypomorph', 16.0), ('depetalize', 16.0), ('nonspecialized', 16.0), ('acrobat', 16.0), ('chaetopodous', 16.0), ('replane', 16.0), ('repolymerize', 17.0)]",multimjistujuylar,multifistular,,0.0,lexicon_preproc_time,0.0002647510264068842,3777.1336095337515
beam,20,148,17,200.0,0.0,"[('acrobat', 15.080771336371097), ('voltaism', 15.766241397174928), ('hypomorph', 15.913057999003493), ('footstock', 16.22932606331331), ('puno', 16.271417277230704), ('vociferance', 16.47983461217818), ('trifler', 16.55091970968288), ('replane', 16.570658491534235), ('adighe', 16.932237657162222), ('exteroceptive', 16.944801471416504), ('iconostas', 16.97882514086876), ('depetalize', 17.51472808946746), ('detention', 17.644273442055216), ('treading', 17.70603616006402), ('nonspecialized', 18.43491841174684), ('repolymerize', 18.93016206127384), ('anisodont', 19.149513074001977), ('incumbentess', 19.359224085630714), ('multifistular', 19.798756511522), ('chaetopodous', 20.045840895482748)]",multimjistujuylar,multifistular,,0.31622776601683794,lexicon_preproc_time,0.00027702399529516697,3609.795602487458
beam_forward_backward,20,148,17,200.0,1.0,"[('multifistular', 5.0), ('voltaism', 13.0), ('trifler', 13.0), ('footstock', 14.0), ('iconostas', 14.0), ('detention', 15.0), ('anisodont', 15.0), ('incumbentess', 15.0), ('puno', 16.0), ('exteroceptive', 16.0), ('treading', 16.0), ('adighe', 16.0), ('vociferance', 16.0), ('hypomorph', 16.0), ('depetalize', 16.0), ('nonspecialized', 16.0), ('acrobat', 16.0), ('chaetopodous', 16.0), ('replane', 16.0), ('repolymerize', 17.0)]",multimjistujuylar,multifistular,,0.0,lexicon_preproc_time,0.0013161629904061556,759.7843179676473
beam_forward_backward,20,148,17,200.0,0.0,"[('acrobat', 15.080771336371097), ('voltaism', 15.766241397174928), ('hypomorph', 15.913057999003493), ('anisodont', 16.09121478343199), ('footstock', 16.22932606331331), ('puno', 16.271417277230704), ('vociferance', 16.47983461217818), ('trifler', 16.55091970968288), ('replane', 16.570658491534235), ('adighe', 16.922513045867387), ('exteroceptive', 16.944801471416504), ('iconostas', 16.97882514086876), ('chaetopodous', 17.156861225928207), ('depetalize', 17.51472808946746), ('detention', 17.644273442055216), ('treading', 17.70603616006402), ('nonspecialized', 18.43491841174684), ('repolymerize', 18.93016206127384), ('incumbentess', 19.359224085630714), ('multifistular', 19.798756511522)]",multimjistujuylar,multifistular,,0.31622776601683794,lexicon_preproc_time,0.0013232469791546464,755.7168206337776
edit_graph,20,161,11,,,"[('photopathic', 5.0)]",phboopettqc,photopathic,14.0,,lexicon_preproc_time,0.006061012041755021,164.98894790356513
edit_graph,20,161,11,,,"[('photopathic', 4.81339502)]",phboopettqc,photopathic,15.0,5.62341325190349,lexicon_preproc_time,2.4083771020523272,0.415217367391443
beam,20,161,11,10.0,1.0,"[('photopathic', 5.0), ('philosophically', 11.0)]",phboopettqc,photopathic,,0.0,lexicon_preproc_time,0.00037172395968809724,2690.168265825724
beam,20,161,11,10.0,0.0,"[('hurroosh', 10.429846165630568), ('unquiescence', 12.366536621744961), ('wheeled', 12.400879087911557), ('sawder', 12.437440485044974)]",phboopettqc,photopathic,,5.62341325190349,lexicon_preproc_time,0.0002759119961410761,3624.3440444274547
beam_forward_backward,20,161,11,10.0,1.0,"[('photopathic', 5.0), ('dialectic', 8.0), ('philosophically', 11.0)]",phboopettqc,photopathic,,0.0,lexicon_preproc_time,0.001429939002264291,699.3305297754046
beam_forward_backward,20,161,11,10.0,0.0,"[('hurroosh', 10.429846165630568), ('unquiescence', 12.366536621744961), ('wheeled', 12.400879087911557), ('sawder', 12.437440485044974), ('dialectic', 14.31454992744587), ('myelocytic', 15.302340459587551), ('moralistic', 16.27272617382781), ('proletarianism', 17.181290525123952)]",phboopettqc,photopathic,,5.62341325190349,lexicon_preproc_time,0.0014399179490283132,694.4840160335671
beam,20,161,11,20.0,1.0,"[('photopathic', 5.0), ('philosophically', 11.0), ('proletarianism', 12.0)]",phboopettqc,photopathic,,0.0,lexicon_preproc_time,0.0002800499787554145,3570.7912010711625
beam,20,161,11,20.0,0.0,"[('hurroosh', 10.429846165630568), ('wheeled', 12.400879087911557), ('sawder', 12.426250142275496), ('unquiescence', 13.311419035775002), ('dentinoblast', 15.209712405994946)]",phboopettqc,photopathic,,5.62341325190349,lexicon_preproc_time,0.0002737989998422563,3652.314291053399
beam_forward_backward,20,161,11,20.0,1.0,"[('photopathic', 5.0), ('dialectic', 8.0), ('myelocytic', 8.0), ('moralistic', 9.0), ('philosophically', 11.0), ('proletarianism', 12.0)]",phboopettqc,photopathic,,0.0,lexicon_preproc_time,0.0014289469690993428,699.816033502135
beam_forward_backward,20,161,11,20.0,0.0,"[('hurroosh', 10.429846165630568), ('wheeled', 12.400879087911557), ('sawder', 12.426250142275496), ('unquiescence', 13.311419035775002), ('epistemonic', 14.299947127792365), ('dialectic', 14.31454992744587), ('dentinoblast', 15.209712405994946), ('moralistic', 15.290033807990428), ('myelocytic', 15.302340459587551), ('proletarianism', 17.181290525123952)]",phboopettqc,photopathic,,5.62341325190349,lexicon_preproc_time,0.001413266989402473,707.5803846680084
beam,20,161,11,50.0,1.0,"[('photopathic', 5.0), ('myelocytic', 8.0), ('wheeled', 9.0), ('lithodesma', 9.0), ('hurroosh', 10.0), ('sothiac', 10.0), ('philosophically', 11.0), ('proletarianism', 12.0)]",phboopettqc,photopathic,,0.0,lexicon_preproc_time,0.00027980998856946826,3573.853832425752
beam,20,161,11,50.0,0.0,"[('hurroosh', 10.429846165630568), ('wheeled', 12.400879087911557), ('sawder', 12.426250142275496), ('unquiescence', 13.311419035775002), ('testament', 13.360300093823634), ('photopathic', 14.312816772902554), ('oviculum', 14.344593369111195), ('dentinoblast', 15.209712405994946), ('myelocytic', 15.268436545562727), ('dialectic', 15.269403973534159), ('dunderheadedness', 15.316856231858717), ('moralistic', 15.338208702805895)]",phboopettqc,photopathic,,5.62341325190349,lexicon_preproc_time,0.00027852802304551005,3590.3030117605263
beam_forward_backward,20,161,11,50.0,1.0,"[('photopathic', 5.0), ('myelocytic', 8.0), ('dialectic', 8.0), ('wheeled', 9.0), ('lithodesma', 9.0), ('sothiac', 9.0), ('moralistic', 9.0), ('testament', 9.0), ('hurroosh', 10.0), ('philosophically', 11.0), ('proletarianism', 12.0), ('epistemonic', 12.0), ('spectroradiometry', 15.0)]",phboopettqc,photopathic,,0.0,lexicon_preproc_time,0.0014727500383742154,679.0018495629515
beam_forward_backward,20,161,11,50.0,0.0,"[('hurroosh', 10.429846165630568), ('testament', 12.385578158838147), ('wheeled', 12.400879087911557), ('sawder', 12.426250142275496), ('unquiescence', 13.311419035775002), ('sothiac', 13.39252579951752), ('epistemonic', 14.293448347574365), ('photopathic', 14.312816772902554), ('lithodesma', 14.32955025133617), ('oviculum', 14.344593369111195), ('dentinoblast', 15.209712405994946), ('myelocytic', 15.250572356350125), ('dialectic', 15.269403973534159), ('dunderheadedness', 15.316856231858717), ('moralistic', 15.338208702805895), ('proletarianism', 17.181290525123952)]",phboopettqc,photopathic,,5.62341325190349,lexicon_preproc_time,0.0014761160127818584,677.4535275959918
beam,20,161,11,100.0,1.0,"[('photopathic', 5.0), ('myelocytic', 8.0), ('dialectic', 8.0), ('wallop', 9.0), ('wheeled', 9.0), ('lithodesma', 9.0), ('testament', 9.0), ('sothiac', 9.0), ('hurroosh', 10.0), ('oviculum', 10.0), ('moralistic', 11.0), ('philosophically', 11.0), ('proletarianism', 12.0), ('epistemonic', 13.0), ('dentinoblast', 15.0), ('spectroradiometry', 18.0)]",phboopettqc,photopathic,,0.0,lexicon_preproc_time,0.0003237430355511606,3088.8695359810195
beam,20,161,11,100.0,0.0,"[('hurroosh', 10.429846165630568), ('testament', 12.385578158838145), ('wheeled', 12.400879087911557), ('sawder', 12.426250142275496), ('cinter', 12.467926769765059), ('unquiescence', 13.311419035775002), ('lithodesma', 13.366229026204428), ('myelocytic', 14.279676412763655), ('epistemonic', 14.301701491484298), ('photopathic', 14.312816772902554), ('oviculum', 14.342238240969778), ('sothiac', 14.362585384194283), ('dentinoblast', 15.209712405994946), ('dialectic', 15.263619015495424), ('dunderheadedness', 15.316856231858717), ('moralistic', 16.265145494113867), ('spectroradiometry', 17.16114540220163), ('proletarianism', 17.175339497579515), ('philosophically', 19.141292214176787)]",phboopettqc,photopathic,,5.62341325190349,lexicon_preproc_time,0.0003144160145893693,3180.4995725361214
beam_forward_backward,20,161,11,100.0,1.0,"[('photopathic', 5.0), ('myelocytic', 8.0), ('dialectic', 8.0), ('wallop', 9.0), ('wheeled', 9.0), ('lithodesma', 9.0), ('testament', 9.0), ('sothiac', 9.0), ('moralistic', 9.0), ('hurroosh', 10.0), ('oviculum', 10.0), ('epistemonic', 10.0), ('cinter', 10.0), ('philosophically', 11.0), ('proletarianism', 12.0), ('dentinoblast', 12.0), ('unquiescence', 12.0), ('spectroradiometry', 15.0)]",phboopettqc,photopathic,,0.0,lexicon_preproc_time,0.0015255300095304847,655.5098842714815
beam_forward_backward,20,161,11,100.0,0.0,"[('hurroosh', 10.429846165630568), ('testament', 12.385578158838145), ('wheeled', 12.400879087911557), ('sawder', 12.426250142275496), ('cinter', 12.467926769765059), ('unquiescence', 13.311419035775002), ('lithodesma', 13.366229026204428), ('sothiac', 13.37950004878944), ('myelocytic', 14.279676412763655), ('epistemonic', 14.293448347574365), ('photopathic', 14.312816772902552), ('oviculum', 14.342238240969778), ('dentinoblast', 15.209712405994946), ('dialectic', 15.263619015495424), ('dunderheadedness', 15.308515200533902), ('moralistic', 16.265145494113867), ('spectroradiometry', 17.16114540220163), ('proletarianism', 17.175339497579515), ('philosophically', 18.172329895779523)]",phboopettqc,photopathic,,5.62341325190349,lexicon_preproc_time,0.001560556993354112,640.7968464200053
beam,20,161,11,200.0,1.0,"[('photopathic', 5.0), ('myelocytic', 8.0), ('dialectic', 8.0), ('wallop', 9.0), ('wheeled', 9.0), ('lithodesma', 9.0), ('testament', 9.0), ('sothiac', 9.0), ('moralistic', 9.0), ('hurroosh', 10.0), ('oviculum', 10.0), ('cinter', 10.0), ('sawder', 10.0), ('epistemonic', 10.0), ('unquiescence', 11.0), ('philosophically', 11.0), ('dentinoblast', 12.0), ('proletarianism', 12.0), ('dunderheadedness', 16.0), ('spectroradiometry', 17.0)]",phboopettqc,photopathic,,0.0,lexicon_preproc_time,0.00036183500196784735,2763.690617440211
beam,20,161,11,200.0,0.0,"[('hurroosh', 10.429846165630568), ('testament', 12.385578158838145), ('wheeled', 12.400879087911557), ('sawder', 12.426250142275496), ('cinter', 12.456736426995581), ('wallop', 12.49260993579097), ('unquiescence', 13.311419035775002), ('lithodesma', 13.366229026204428), ('myelocytic', 14.279676412763655), ('epistemonic', 14.301701491484298), ('photopathic', 14.312816772902554), ('oviculum', 14.344593369111195), ('sothiac', 14.362585384194283), ('dentinoblast', 15.209712405994946), ('dialectic', 15.263619015495424), ('moralistic', 15.290033807990428), ('dunderheadedness', 15.316856231858717), ('proletarianism', 17.159639105971284), ('spectroradiometry', 17.16114540220163), ('philosophically', 19.141292214176787)]",phboopettqc,photopathic,,5.62341325190349,lexicon_preproc_time,0.0003589999978430569,2785.5153370701896
beam_forward_backward,20,161,11,200.0,1.0,"[('photopathic', 5.0), ('myelocytic', 8.0), ('dialectic', 8.0), ('wallop', 9.0), ('wheeled', 9.0), ('lithodesma', 9.0), ('testament', 9.0), ('sothiac', 9.0), ('moralistic', 9.0), ('hurroosh', 10.0), ('oviculum', 10.0), ('cinter', 10.0), ('sawder', 10.0), ('epistemonic', 10.0), ('unquiescence', 11.0), ('philosophically', 11.0), ('dentinoblast', 12.0), ('proletarianism', 12.0), ('dunderheadedness', 15.0), ('spectroradiometry', 15.0)]",phboopettqc,photopathic,,0.0,lexicon_preproc_time,0.001587777049280703,629.8113456502103
beam_forward_backward,20,161,11,200.0,0.0,"[('hurroosh', 10.429846165630568), ('cinter', 11.514206315131034), ('testament', 12.385578158838145), ('wheeled', 12.400879087911555), ('sawder', 12.426250142275496), ('wallop', 12.49260993579097), ('unquiescence', 13.311419035775002), ('lithodesma', 13.366229026204428), ('sothiac', 13.37950004878944), ('myelocytic', 14.279676412763655), ('epistemonic', 14.293448347574365), ('photopathic', 14.312816772902552), ('oviculum', 14.344593369111195), ('dentinoblast', 15.209712405994946), ('dialectic', 15.263619015495424), ('moralistic', 15.290033807990428), ('dunderheadedness', 15.308515200533902), ('proletarianism', 17.159639105971284), ('spectroradiometry', 17.16114540220163), ('philosophically', 18.172329895779523)]",phboopettqc,photopathic,,5.62341325190349,lexicon_preproc_time,0.0015821069828234613,632.0685079180796
edit_graph,20,161,11,,,"[('dialectic', 5.0)]",kxxialecaac,dialectic,16.0,,lexicon_preproc_time,0.006070450006518513,164.73243316824775
edit_graph,20,161,11,,,"[('dialectic', 4.74352312)]",kxxialecaac,dialectic,16.0,5.62341325190349,lexicon_preproc_time,2.612921619962435,0.3827133551806948
beam,20,161,11,10.0,1.0,"[('dialectic', 5.0), ('cinter', 9.0)]",kxxialecaac,dialectic,,0.0,lexicon_preproc_time,0.0003893770044669509,2568.205077670109
beam,20,161,11,10.0,0.0,"[('cinter', 12.336744086456122), ('dialectic', 15.203411696785302), ('moralistic', 17.10775314240619)]",kxxialecaac,dialectic,,5.62341325190349,lexicon_preproc_time,0.00027680397033691406,3612.664944013781
beam_forward_backward,20,161,11,10.0,1.0,"[('dialectic', 5.0), ('cinter', 9.0), ('sothiac', 9.0)]",kxxialecaac,dialectic,,0.0,lexicon_preproc_time,0.0014526520390063524,688.3961011640635
beam_forward_backward,20,161,11,10.0,0.0,"[('cinter', 12.336744086456122), ('dentinoblast', 15.164373185227095), ('dialectic', 15.203411696785302), ('moralistic', 16.148017925812105), ('proletarianism', 17.079490895475036)]",kxxialecaac,dialectic,,5.62341325190349,lexicon_preproc_time,0.0014136480167508125,707.389667124099
beam,20,161,11,20.0,1.0,"[('dialectic', 5.0), ('cinter', 9.0), ('epistemonic', 10.0)]",kxxialecaac,dialectic,,0.0,lexicon_preproc_time,0.0002762629883363843,3619.7393144186817
beam,20,161,11,20.0,0.0,"[('cinter', 12.336744086456122), ('dentinoblast', 15.164373185227099), ('dialectic', 15.203411696785302), ('oviculum', 16.201123445768662), ('moralistic', 17.10775314240619)]",kxxialecaac,dialectic,,5.62341325190349,lexicon_preproc_time,0.00027875800151377916,3587.340971629722
beam_forward_backward,20,161,11,20.0,1.0,"[('dialectic', 5.0), ('moralistic', 8.0), ('cinter', 9.0), ('sothiac', 9.0), ('lithodesma', 9.0), ('epistemonic', 10.0)]",kxxialecaac,dialectic,,0.0,lexicon_preproc_time,0.0014449270092882216,692.0764810760961
beam_forward_backward,20,161,11,20.0,0.0,"[('cinter', 12.336744086456122), ('testament', 13.290373802763556), ('dialectic', 14.243695877276625), ('dentinoblast', 15.164373185227095), ('moralistic', 16.148017925812105), ('oviculum', 16.201123445768662), ('proletarianism', 17.079490895475033)]",kxxialecaac,dialectic,,5.62341325190349,lexicon_preproc_time,0.0014343970105983317,697.1570580608425
beam,20,161,11,50.0,1.0,"[('dialectic', 5.0), ('moralistic', 8.0), ('cinter', 9.0), ('oviculum', 10.0), ('epistemonic', 10.0), ('myelocytic', 10.0), ('lithodesma', 11.0), ('philosophically', 15.0)]",kxxialecaac,dialectic,,0.0,lexicon_preproc_time,0.00028211402241140604,3544.666058965701
beam,20,161,11,50.0,0.0,"[('cinter', 12.336744086456122), ('sawder', 12.362126462146364), ('wheeled', 12.391172970382618), ('hurroosh', 13.341064136754651), ('dentinoblast', 15.164373185227099), ('photopathic', 15.18388417582204), ('lithodesma', 15.191426493323425), ('dialectic', 15.196431221045737), ('moralistic', 16.14564798116754), ('oviculum', 16.201123445768662), ('spectroradiometry', 17.123460858702053), ('dunderheadedness', 19.13808293991381), ('philosophically', 20.02293620999931)]",kxxialecaac,dialectic,,5.62341325190349,lexicon_preproc_time,0.0002891269978135824,3458.687730866144
beam_forward_backward,20,161,11,50.0,1.0,"[('dialectic', 5.0), ('moralistic', 8.0), ('cinter', 9.0), ('lithodesma', 9.0), ('sothiac', 9.0), ('wheeled', 9.0), ('oviculum', 10.0), ('epistemonic', 10.0), ('myelocytic', 10.0), ('photopathic', 11.0), ('dentinoblast', 12.0), ('philosophically', 15.0)]",kxxialecaac,dialectic,,0.0,lexicon_preproc_time,0.0014863759861327708,672.777284704245
beam_forward_backward,20,161,11,50.0,0.0,"[('cinter', 12.336744086456122), ('sawder', 12.362126462146364), ('wheeled', 12.391172970382618), ('testament', 13.290373802763556), ('hurroosh', 13.341064136754651), ('sothiac', 14.26169933962909), ('dentinoblast', 15.164373185227095), ('photopathic', 15.183884175822039), ('lithodesma', 15.191426493323423), ('dialectic', 15.196431221045737), ('moralistic', 16.14564798116754), ('myelocytic', 16.155302917189744), ('oviculum', 16.201123445768662), ('proletarianism', 17.079490895475033), ('spectroradiometry', 17.123460858702053), ('dunderheadedness', 19.13808293991381), ('philosophically', 20.02293620999931)]",kxxialecaac,dialectic,,5.62341325190349,lexicon_preproc_time,0.0014919969835318625,670.2426419340306
beam,20,161,11,100.0,1.0,"[('dialectic', 5.0), ('moralistic', 8.0), ('wallop', 9.0), ('cinter', 9.0), ('testament', 9.0), ('wheeled', 9.0), ('lithodesma', 9.0), ('oviculum', 10.0), ('sawder', 10.0), ('epistemonic', 10.0), ('myelocytic', 10.0), ('unquiescence', 13.0), ('proletarianism', 13.0), ('philosophically', 15.0), ('dentinoblast', 16.0), ('dunderheadedness', 17.0), ('spectroradiometry', 19.0)]",kxxialecaac,dialectic,,0.0,lexicon_preproc_time,0.00032815104350447655,3047.3771752194907
beam,20,161,11,100.0,0.0,"[('wheeled', 10.476183736793908), ('cinter', 12.336744086456122), ('sawder', 12.362126462146364), ('testament', 13.290373802763554), ('hurroosh', 13.339375242928314), ('sothiac', 14.261699339629091), ('dentinoblast', 15.164373185227099), ('photopathic', 15.18388417582204), ('lithodesma', 15.191426493323425), ('dialectic', 15.196431221045737), ('moralistic', 16.14564798116754), ('myelocytic', 16.155302917189744), ('epistemonic', 16.17111929724331), ('oviculum', 16.201123445768662), ('dunderheadedness', 16.209373926037074), ('proletarianism', 17.075446564090125), ('spectroradiometry', 17.123460858702053), ('unquiescence', 18.170379253176034), ('philosophically', 20.02293620999931)]",kxxialecaac,dialectic,,5.62341325190349,lexicon_preproc_time,0.00030696101021021605,3257.7427319357926
beam_forward_backward,20,161,11,100.0,1.0,"[('dialectic', 5.0), ('moralistic', 8.0), ('wallop', 9.0), ('cinter', 9.0), ('testament', 9.0), ('wheeled', 9.0), ('lithodesma', 9.0), ('sothiac', 9.0), ('oviculum', 10.0), ('sawder', 10.0), ('epistemonic', 10.0), ('myelocytic', 10.0), ('dentinoblast', 10.0), ('photopathic', 10.0), ('unquiescence', 13.0), ('proletarianism', 13.0), ('philosophically', 15.0), ('spectroradiometry', 16.0), ('dunderheadedness', 17.0)]",kxxialecaac,dialectic,,0.0,lexicon_preproc_time,0.0015333350165747106,652.173197109841
beam_forward_backward,20,161,11,100.0,0.0,"[('wheeled', 10.476183736793907), ('sawder', 11.417105611106804), ('cinter', 12.336744086456118), ('testament', 13.290373802763554), ('hurroosh', 13.336867364096657), ('sothiac', 14.26169933962909), ('dialectic', 14.265286024574142), ('dentinoblast', 15.164373185227095), ('photopathic', 15.183884175822039), ('lithodesma', 15.191426493323423), ('moralistic', 16.14564798116754), ('myelocytic', 16.155302917189744), ('epistemonic', 16.17111929724331), ('oviculum', 16.201123445768662), ('dunderheadedness', 16.209373926037074), ('proletarianism', 17.075446564090125), ('spectroradiometry', 17.123460858702053), ('unquiescence', 18.170379253176034), ('philosophically', 20.02293620999931)]",kxxialecaac,dialectic,,5.62341325190349,lexicon_preproc_time,0.0015502459718845785,645.0589249294006
beam,20,161,11,200.0,1.0,"[('dialectic', 5.0), ('moralistic', 8.0), ('wallop', 9.0), ('cinter', 9.0), ('testament', 9.0), ('wheeled', 9.0), ('lithodesma', 9.0), ('sothiac', 9.0), ('oviculum', 10.0), ('sawder', 10.0), ('epistemonic', 10.0), ('myelocytic', 10.0), ('photopathic', 10.0), ('unquiescence', 10.0), ('hurroosh', 11.0), ('dentinoblast', 11.0), ('proletarianism', 13.0), ('philosophically', 14.0), ('dunderheadedness', 15.0), ('spectroradiometry', 16.0)]",kxxialecaac,dialectic,,0.0,lexicon_preproc_time,0.00036745599936693907,2721.414269253519
beam,20,161,11,200.0,0.0,"[('wheeled', 10.476183736793908), ('cinter', 12.336744086456122), ('sawder', 12.362126462146364), ('testament', 13.290373802763554), ('hurroosh', 13.339375242928314), ('wallop', 13.372382598898563), ('sothiac', 14.261699339629091), ('dentinoblast', 15.164373185227099), ('photopathic', 15.18388417582204), ('lithodesma', 15.191426493323425), ('dialectic', 15.196431221045737), ('moralistic', 16.14564798116754), ('myelocytic', 16.155302917189744), ('epistemonic', 16.17111929724331), ('oviculum', 16.201123445768662), ('dunderheadedness', 16.209373926037074), ('proletarianism', 17.075446564090125), ('spectroradiometry', 17.123460858702053), ('unquiescence', 18.133958101023037), ('philosophically', 20.02293620999931)]",kxxialecaac,dialectic,,5.62341325190349,lexicon_preproc_time,0.00035911001032218337,2784.6620012146923
beam_forward_backward,20,161,11,200.0,1.0,"[('dialectic', 5.0), ('moralistic', 8.0), ('wallop', 9.0), ('cinter', 9.0), ('testament', 9.0), ('wheeled', 9.0), ('lithodesma', 9.0), ('sothiac', 9.0), ('oviculum', 10.0), ('sawder', 10.0), ('epistemonic', 10.0), ('myelocytic', 10.0), ('photopathic', 10.0), ('unquiescence', 10.0), ('dentinoblast', 10.0), ('hurroosh', 11.0), ('proletarianism', 13.0), ('philosophically', 14.0), ('dunderheadedness', 15.0), ('spectroradiometry', 16.0)]",kxxialecaac,dialectic,,0.0,lexicon_preproc_time,0.0015867150505073369,630.2328825079586
beam_forward_backward,20,161,11,200.0,0.0,"[('wheeled', 10.476183736793907), ('sawder', 11.417105611106804), ('cinter', 12.336744086456118), ('testament', 13.290373802763554), ('hurroosh', 13.336867364096657), ('wallop', 13.372382598898563), ('sothiac', 14.26169933962909), ('dialectic', 14.265286024574142), ('oviculum', 14.282953353086658), ('dentinoblast', 15.164373185227095), ('photopathic', 15.183884175822039), ('lithodesma', 15.191426493323423), ('moralistic', 16.14564798116754), ('myelocytic', 16.155302917189744), ('epistemonic', 16.17111929724331), ('dunderheadedness', 16.209373926037074), ('unquiescence', 16.230950140241173), ('proletarianism', 17.075446564090125), ('spectroradiometry', 17.123460858702053), ('philosophically', 19.07598554185177)]",kxxialecaac,dialectic,,5.62341325190349,lexicon_preproc_time,0.0016063529765233397,622.5281831670142
edit_graph,20,161,10,,,"[('testament', 5.0)]",tyapdamsnt,testament,17.0,,lexicon_preproc_time,0.00607991695869714,164.47593064071867
edit_graph,20,161,10,,,"[('testament', 4.75888109)]",tyapdamsnt,testament,17.0,5.62341325190349,lexicon_preproc_time,2.5930934789939784,0.3856397804787053
beam,20,161,10,10.0,1.0,"[('testament', 5.0), ('myelocytic', 9.0)]",tyapdamsnt,testament,,0.0,lexicon_preproc_time,0.00036653399001806974,2728.259935594789
beam,20,161,10,10.0,0.0,"[('unquiescence', 14.26368194083717), ('dialectic', 14.280454370067915)]",tyapdamsnt,testament,,5.62341325190349,lexicon_preproc_time,0.000271574012003839,3682.2374593997006
beam_forward_backward,20,161,10,10.0,1.0,"[('testament', 5.0), ('myelocytic', 9.0), ('dentinoblast', 11.0)]",tyapdamsnt,testament,,0.0,lexicon_preproc_time,0.0014429530128836632,693.0232592962639
beam_forward_backward,20,161,10,10.0,0.0,"[('lithodesma', 13.273786505500427), ('philosophically', 14.242408627080511), ('unquiescence', 14.26368194083717), ('dialectic', 14.280454370067915), ('proletarianism', 16.125004582294718)]",tyapdamsnt,testament,,5.62341325190349,lexicon_preproc_time,0.001427475013770163,700.5376558983395
beam,20,161,10,20.0,1.0,"[('testament', 5.0), ('myelocytic', 9.0), ('dialectic', 9.0)]",tyapdamsnt,testament,,0.0,lexicon_preproc_time,0.0002769039710983634,3611.3602706144447
beam,20,161,10,20.0,0.0,"[('lithodesma', 12.28500275082484), ('dialectic', 12.34963231675441), ('photopathic', 13.261561798352673), ('epistemonic', 13.275266728915446), ('unquiescence', 14.26368194083717), ('philosophically', 19.092098539718634)]",tyapdamsnt,testament,,5.62341325190349,lexicon_preproc_time,0.00027423002757132053,3646.573677056297
beam_forward_backward,20,161,10,20.0,1.0,"[('testament', 5.0), ('myelocytic', 9.0), ('dialectic', 9.0), ('lithodesma', 9.0), ('dentinoblast', 10.0)]",tyapdamsnt,testament,,0.0,lexicon_preproc_time,0.0025619730004109442,390.3241758752331
beam_forward_backward,20,161,10,20.0,0.0,"[('lithodesma', 12.285002750824837), ('dialectic', 12.34963231675441), ('photopathic', 13.261561798352673), ('epistemonic', 13.275266728915446), ('oviculum', 13.290888238165635), ('philosophically', 14.242408627080511), ('unquiescence', 14.26368194083717), ('dentinoblast', 14.265461065184637), ('proletarianism', 16.125004582294718)]",tyapdamsnt,testament,,5.62341325190349,lexicon_preproc_time,0.0014419820508919656,693.4899081312634
beam,20,161,10,50.0,1.0,"[('testament', 5.0), ('sawder', 8.0), ('myelocytic', 9.0), ('dialectic', 9.0), ('wallop', 9.0), ('epistemonic', 9.0), ('spectroradiometry', 18.0)]",tyapdamsnt,testament,,0.0,lexicon_preproc_time,0.00028428900986909866,3517.547162517649
beam,20,161,10,50.0,0.0,"[('wheeled', 10.437122803145465), ('cinter', 11.413330392490998), ('lithodesma', 12.28500275082484), ('sothiac', 12.346403154178194), ('sawder', 12.380003270050572), ('photopathic', 13.261561798352673), ('epistemonic', 13.275266728915446), ('unquiescence', 14.26368194083717), ('dialectic', 14.280454370067915), ('moralistic', 14.293366732452085), ('oviculum', 14.311136081476842), ('dentinoblast', 15.239295420997509), ('philosophically', 16.19142407959823)]",tyapdamsnt,testament,,5.62341325190349,lexicon_preproc_time,0.0002832059981301427,3530.9986603478164
beam_forward_backward,20,161,10,50.0,1.0,"[('testament', 5.0), ('sawder', 8.0), ('myelocytic', 9.0), ('dialectic', 9.0), ('wallop', 9.0), ('epistemonic', 9.0), ('lithodesma', 9.0), ('hurroosh', 9.0), ('photopathic', 10.0), ('dentinoblast', 10.0), ('proletarianism', 12.0), ('dunderheadedness', 15.0), ('spectroradiometry', 18.0)]",tyapdamsnt,testament,,0.0,lexicon_preproc_time,0.0014855240005999804,673.1631394687096
